,Ship Mode,Segment,Market,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
15515,Standard Class,Consumer,EU,Technology,235.32,4,0.0,25.8,17.8,Low
15516,Second Class,Consumer,EMEA,Furniture,188.472,1,0.6,-51.858,17.8,High
15517,Standard Class,Consumer,Africa,Office Supplies,677.46,14,0.0,210.0,17.8,Medium
15518,Standard Class,Corporate,Africa,Furniture,293.64,2,0.0,85.14,17.8,Medium
15519,Second Class,Corporate,LATAM,Technology,262.14,3,0.0,5.22,17.8,Medium
15520,Standard Class,Consumer,LATAM,Technology,252.0,3,0.0,73.08,17.8,Medium
15521,Same Day,Consumer,EU,Technology,83.31,2,0.5,-48.33,17.79,Critical
15522,Second Class,Home Office,EU,Office Supplies,101.76,2,0.0,46.8,17.79,High
15523,Standard Class,Home Office,EU,Technology,334.74,7,0.0,43.47,17.79,High
15524,Standard Class,Corporate,APAC,Furniture,202.6845,5,0.27,-5.6655,17.79,Medium
15525,Standard Class,Home Office,US,Furniture,322.59,3,0.0,64.518,17.79,Medium
15526,Standard Class,Consumer,US,Technology,199.95,5,0.0,21.9945,17.79,Medium
15527,First Class,Consumer,LATAM,Furniture,194.016,1,0.2,-9.704,17.79,Medium
15528,First Class,Corporate,EU,Office Supplies,141.15,5,0.0,0.0,17.78,Critical
15529,Second Class,Corporate,EU,Office Supplies,227.28,4,0.0,34.08,17.78,High
15530,Second Class,Corporate,APAC,Office Supplies,145.98,3,0.0,7.29,17.78,High
15531,Standard Class,Consumer,US,Office Supplies,208.16,1,0.0,56.2032,17.78,Medium
15532,Standard Class,Consumer,Canada,Furniture,322.44,2,0.0,90.24,17.78,Medium
15533,Standard Class,Consumer,LATAM,Office Supplies,172.8,5,0.0,6.9,17.78,High
15534,Same Day,Consumer,LATAM,Office Supplies,115.92,7,0.0,38.22,17.78,High
15535,Standard Class,Corporate,EU,Furniture,174.06,3,0.0,41.76,17.77,Medium
15536,First Class,Consumer,EU,Office Supplies,109.92,2,0.0,38.46,17.77,Medium
15537,Standard Class,Consumer,EU,Office Supplies,345.303,3,0.1,7.623,17.77,Medium
15538,Standard Class,Corporate,APAC,Office Supplies,200.79,3,0.0,8.01,17.77,Medium
15539,Same Day,Consumer,APAC,Technology,133.596,4,0.1,48.876,17.77,Medium
15540,Standard Class,Corporate,LATAM,Technology,226.24,2,0.0,101.8,17.77,Medium
15541,Second Class,Corporate,APAC,Office Supplies,65.88,6,0.0,7.74,17.76,Critical
15542,Standard Class,Corporate,LATAM,Furniture,136.736,4,0.6,-41.024,17.75,Low
15543,Standard Class,Home Office,US,Furniture,233.86,2,0.45,-102.048,17.75,Medium
15544,Second Class,Corporate,EMEA,Furniture,97.224,2,0.6,-31.656,17.75,Medium
15545,First Class,Corporate,EU,Technology,67.815,3,0.5,-27.135,17.74,High
15546,Standard Class,Consumer,APAC,Technology,427.14,3,0.0,187.92,17.74,Medium
15547,Second Class,Home Office,US,Technology,311.98,2,0.0,93.594,17.74,Medium
15548,Second Class,Home Office,US,Office Supplies,184.66,7,0.0,84.9436,17.74,Medium
15549,Standard Class,Corporate,LATAM,Office Supplies,166.92,3,0.0,70.08,17.74,High
15550,Standard Class,Corporate,LATAM,Office Supplies,188.84,2,0.0,41.52,17.74,Medium
15551,Same Day,Consumer,LATAM,Office Supplies,99.48,3,0.0,26.82,17.73,High
15552,First Class,Corporate,APAC,Office Supplies,45.45,3,0.0,14.04,17.73,Critical
15553,Standard Class,Corporate,Africa,Technology,288.54,2,0.0,17.28,17.73,Medium
15554,Standard Class,Home Office,EMEA,Furniture,489.81,1,0.0,63.66,17.73,Medium
15555,First Class,Consumer,Africa,Furniture,146.76,1,0.0,42.54,17.73,High
15556,Standard Class,Consumer,LATAM,Furniture,147.712,2,0.2,12.912,17.73,High
15557,First Class,Consumer,EU,Office Supplies,84.6,6,0.0,5.04,17.72,High
15558,Second Class,Consumer,EU,Furniture,298.68,2,0.0,113.46,17.72,Medium
15559,Standard Class,Consumer,APAC,Office Supplies,389.28,8,0.0,19.44,17.72,Medium
15560,First Class,Home Office,APAC,Office Supplies,71.91,3,0.0,20.79,17.72,Critical
15561,Standard Class,Home Office,APAC,Office Supplies,172.152,6,0.4,-71.748,17.72,Medium
15562,Same Day,Consumer,US,Office Supplies,83.42,2,0.0,24.1918,17.72,Critical
15563,Second Class,Consumer,US,Office Supplies,56.064,6,0.2,21.024,17.72,Critical
15564,Same Day,Consumer,LATAM,Furniture,50.4,3,0.0,4.02,17.72,Critical
15565,Standard Class,Consumer,EU,Office Supplies,161.91,3,0.0,54.99,17.71,Medium
15566,Standard Class,Consumer,EU,Technology,311.688,3,0.1,114.228,17.71,Medium
15567,Standard Class,Consumer,EU,Technology,346.68,9,0.0,58.86,17.71,Medium
15568,Standard Class,Consumer,EU,Office Supplies,117.96,4,0.0,24.72,17.71,High
15569,Standard Class,Consumer,EU,Office Supplies,250.8,8,0.0,54.96,17.71,Medium
15570,Standard Class,Corporate,EU,Furniture,220.08,2,0.0,17.58,17.71,Medium
15571,First Class,Consumer,EMEA,Office Supplies,46.62,1,0.0,13.5,17.71,Critical
15572,Standard Class,Consumer,EMEA,Technology,266.49,1,0.0,66.6,17.71,Medium
15573,Standard Class,Corporate,EU,Furniture,263.7,10,0.0,71.1,17.7,Medium
15574,Second Class,Corporate,EU,Office Supplies,250.8,8,0.0,54.96,17.7,Medium
15575,Standard Class,Home Office,APAC,Technology,396.495,3,0.25,-21.195,17.7,Medium
15576,First Class,Corporate,US,Office Supplies,535.41,3,0.0,160.623,17.7,High
15577,Standard Class,Consumer,EMEA,Technology,173.82,1,0.0,24.33,17.7,High
15578,First Class,Corporate,EMEA,Office Supplies,124.26,2,0.0,6.18,17.7,Critical
15579,Second Class,Consumer,EMEA,Furniture,171.87,1,0.0,46.38,17.7,High
15580,Same Day,Consumer,EU,Office Supplies,89.46,7,0.0,38.43,17.69,Critical
15581,Standard Class,Consumer,APAC,Office Supplies,124.68,4,0.0,3.72,17.69,High
15582,Second Class,Corporate,APAC,Technology,476.3619,7,0.17,63.0819,17.69,High
15583,Standard Class,Corporate,APAC,Office Supplies,269.46,4,0.1,119.7,17.69,High
15584,Standard Class,Home Office,US,Office Supplies,344.91,3,0.0,10.3473,17.69,Medium
15585,Standard Class,Consumer,EMEA,Office Supplies,154.2,4,0.0,1.44,17.69,Medium
15586,Standard Class,Corporate,EMEA,Office Supplies,204.15,1,0.0,53.07,17.69,Medium
15587,First Class,Consumer,Africa,Office Supplies,50.79,1,0.0,6.6,17.69,High
15588,First Class,Consumer,EMEA,Office Supplies,89.472,8,0.6,-24.768,17.69,High
15589,Standard Class,Corporate,LATAM,Furniture,306.32,8,0.5,-263.44,17.69,Medium
15590,Standard Class,Corporate,EMEA,Office Supplies,102.312,2,0.6,-122.808,17.68,High
15591,Same Day,Home Office,APAC,Office Supplies,50.97,1,0.0,6.09,17.67,Critical
15592,First Class,Consumer,EMEA,Technology,99.432,2,0.6,-64.668,17.67,High
15593,First Class,Consumer,EMEA,Office Supplies,47.01,1,0.0,8.91,17.67,Critical
15594,Standard Class,Home Office,LATAM,Technology,138.56,8,0.0,49.76,17.67,Low
15595,Standard Class,Corporate,LATAM,Office Supplies,168.78,5,0.4,16.78,17.66,Medium
15596,Standard Class,Consumer,EU,Technology,387.9825,5,0.15,-27.5175,17.66,Medium
15597,Standard Class,Corporate,APAC,Office Supplies,145.98,3,0.0,4.32,17.66,High
15598,Standard Class,Home Office,US,Technology,187.98,2,0.0,52.6344,17.66,Medium
15599,Second Class,Consumer,EMEA,Office Supplies,116.1,6,0.0,12.6,17.66,Medium
15600,Second Class,Corporate,LATAM,Furniture,162.84,3,0.0,32.52,17.66,Medium
15601,Second Class,Corporate,APAC,Furniture,79.29,3,0.0,23.76,17.65,Critical
15602,Standard Class,Corporate,APAC,Office Supplies,90.7854,2,0.17,-4.4346,17.65,High
15603,Standard Class,Home Office,EMEA,Furniture,171.51,1,0.0,58.29,17.65,High
15604,Standard Class,Consumer,EMEA,Technology,179.28,4,0.0,14.28,17.65,Medium
15605,First Class,Consumer,LATAM,Office Supplies,98.568,6,0.4,-0.072,17.65,Medium
15606,First Class,Corporate,LATAM,Office Supplies,97.02,3,0.0,35.88,17.65,High
15607,Standard Class,Corporate,EU,Office Supplies,167.751,3,0.1,-9.369,17.64,High
15608,Second Class,Corporate,APAC,Office Supplies,141.882,2,0.15,3.282,17.64,Critical
15609,Standard Class,Consumer,APAC,Office Supplies,508.4082,3,0.17,-18.4518,17.64,Medium
15610,First Class,Corporate,APAC,Technology,138.672,4,0.1,18.432,17.64,High
15611,Standard Class,Home Office,APAC,Technology,185.28,4,0.0,64.8,17.64,Medium
15612,Standard Class,Consumer,EMEA,Technology,333.66,2,0.0,9.96,17.64,Medium
15613,Standard Class,Consumer,EMEA,Technology,143.22,1,0.0,7.14,17.64,Medium
15614,Standard Class,Home Office,EMEA,Furniture,136.584,2,0.6,-174.156,17.64,Low
15615,Standard Class,Consumer,LATAM,Office Supplies,126.208,8,0.2,-4.832,17.64,Low
15616,Standard Class,Corporate,EU,Office Supplies,122.4,2,0.0,37.92,17.63,High
15617,First Class,Corporate,US,Office Supplies,43.56,2,0.0,15.246,17.63,Critical
15618,Standard Class,Home Office,EMEA,Technology,503.4,4,0.0,236.52,17.63,Medium
15619,Standard Class,Consumer,Africa,Furniture,301.5,6,0.0,75.24,17.63,Medium
15620,Second Class,Home Office,LATAM,Furniture,277.6,5,0.0,2.7,17.62,Medium
15621,First Class,Home Office,APAC,Office Supplies,90.855,5,0.1,2.955,17.62,High
15622,Standard Class,Corporate,APAC,Technology,380.538,3,0.1,-29.682,17.62,Medium
15623,Standard Class,Consumer,US,Technology,89.568,4,0.2,-1.1196,17.62,High
15624,Standard Class,Consumer,EMEA,Technology,235.332,12,0.7,-251.028,17.62,Medium
15625,Same Day,Consumer,LATAM,Furniture,50.4,3,0.0,14.58,17.61,Critical
15626,Standard Class,Consumer,APAC,Technology,301.041,3,0.17,-39.969,17.61,Medium
15627,Standard Class,Consumer,APAC,Office Supplies,235.6965,9,0.15,88.5465,17.61,Medium
15628,Standard Class,Corporate,APAC,Technology,366.87,7,0.0,106.26,17.61,Medium
15629,Second Class,Consumer,US,Technology,104.85,3,0.0,28.3095,17.61,High
15630,Standard Class,Consumer,EU,Office Supplies,103.26,2,0.0,17.52,17.6,High
15631,Standard Class,Consumer,APAC,Technology,162.0,4,0.0,38.88,17.6,Medium
15632,First Class,Corporate,Africa,Technology,79.695,1,0.7,-183.315,17.6,High
15633,Standard Class,Consumer,APAC,Office Supplies,173.124,4,0.1,53.844,17.59,Medium
15634,Standard Class,Consumer,APAC,Technology,300.024,6,0.1,123.264,17.59,High
15635,First Class,Consumer,APAC,Office Supplies,101.64,7,0.0,33.39,17.59,High
15636,First Class,Consumer,APAC,Office Supplies,71.64,6,0.0,12.78,17.59,High
15637,Second Class,Consumer,US,Office Supplies,49.12,4,0.0,23.0864,17.59,Critical
15638,Second Class,Home Office,US,Office Supplies,153.728,4,0.2,53.8048,17.59,High
15639,Second Class,Corporate,LATAM,Technology,195.5082,1,0.002,56.4082,17.59,Medium
15640,Standard Class,Corporate,LATAM,Furniture,313.488,3,0.2,50.928,17.58,Medium
15641,Second Class,Consumer,EU,Office Supplies,321.84,6,0.0,80.46,17.58,Medium
15642,Standard Class,Corporate,EU,Office Supplies,279.72,5,0.1,-6.33,17.58,Medium
15643,Standard Class,Home Office,EU,Furniture,130.95,3,0.0,40.59,17.58,High
15644,Standard Class,Home Office,EU,Technology,364.9815,3,0.15,107.3115,17.58,Medium
15645,Second Class,Home Office,APAC,Furniture,160.704,4,0.2,-28.176,17.58,Medium
15646,Second Class,Corporate,APAC,Furniture,241.6008,7,0.27,49.4508,17.58,Medium
15647,Standard Class,Consumer,US,Office Supplies,166.44,3,0.0,79.8912,17.58,Low
15648,First Class,Consumer,Africa,Furniture,100.14,1,0.0,35.04,17.58,High
15649,Second Class,Consumer,EMEA,Office Supplies,236.4,8,0.0,0.0,17.58,Medium
15650,Second Class,Consumer,LATAM,Office Supplies,91.04,8,0.0,0.8,17.58,High
15651,Second Class,Home Office,APAC,Office Supplies,231.0,5,0.0,13.8,17.57,Medium
15652,Standard Class,Corporate,APAC,Technology,176.88,2,0.0,74.28,17.57,Medium
15653,Standard Class,Corporate,APAC,Technology,346.248,4,0.4,-207.792,17.57,Medium
15654,Standard Class,Consumer,LATAM,Technology,197.72376,2,0.002,88.72376,17.57,Low
15655,Standard Class,Corporate,EU,Furniture,712.2,5,0.0,320.4,17.56,Medium
15656,Standard Class,Consumer,EU,Furniture,184.437,3,0.1,59.427,17.56,Medium
15657,Standard Class,Home Office,APAC,Office Supplies,189.54,6,0.4,-19.08,17.56,High
15658,Standard Class,Corporate,APAC,Office Supplies,304.32,8,0.0,48.48,17.56,Medium
15659,First Class,Corporate,Canada,Office Supplies,111.84,4,0.0,4.44,17.55,Critical
15660,Standard Class,Corporate,APAC,Furniture,144.0,2,0.0,67.68,17.54,Low
15661,Second Class,Consumer,APAC,Office Supplies,141.912,4,0.1,-12.648,17.54,Medium
15662,Standard Class,Consumer,EMEA,Technology,234.864,4,0.6,-287.736,17.54,Medium
15663,First Class,Consumer,LATAM,Technology,341.55552,4,0.002,115.63552,17.54,Medium
15664,Standard Class,Corporate,EU,Office Supplies,147.33,3,0.0,23.49,17.53,Low
15665,Standard Class,Corporate,APAC,Furniture,287.94,2,0.0,0.0,17.53,Medium
15666,Second Class,Consumer,APAC,Furniture,139.14,2,0.0,15.3,17.53,Medium
15667,Second Class,Home Office,LATAM,Furniture,119.568,2,0.4,9.928,17.53,High
15668,First Class,Corporate,LATAM,Office Supplies,95.28,3,0.0,26.64,17.53,High
15669,Standard Class,Consumer,EU,Office Supplies,260.28,5,0.1,78.03,17.52,Medium
15670,Standard Class,Consumer,APAC,Office Supplies,242.25,5,0.0,12.0,17.52,Medium
15671,First Class,Consumer,APAC,Technology,61.02,2,0.0,23.76,17.52,Critical
15672,Second Class,Consumer,APAC,Office Supplies,221.832,8,0.1,91.032,17.52,Medium
15673,Standard Class,Consumer,APAC,Office Supplies,414.72,2,0.0,8.28,17.52,Medium
15674,Standard Class,Consumer,US,Office Supplies,535.41,3,0.0,160.623,17.52,Medium
15675,Second Class,Corporate,EMEA,Office Supplies,137.79,1,0.0,17.91,17.52,High
15676,Standard Class,Corporate,LATAM,Office Supplies,194.4,5,0.0,87.4,17.51,Medium
15677,Second Class,Consumer,LATAM,Office Supplies,244.98,3,0.4,-118.44,17.51,Medium
15678,Second Class,Consumer,EU,Office Supplies,96.12,6,0.0,3.78,17.51,High
15679,Standard Class,Home Office,EU,Office Supplies,496.044,4,0.1,16.524,17.51,Medium
15680,First Class,Home Office,EU,Office Supplies,108.864,6,0.1,-6.156,17.51,High
15681,First Class,Consumer,US,Office Supplies,251.64,3,0.2,88.074,17.51,High
15682,Standard Class,Corporate,US,Office Supplies,235.92,5,0.2,-44.235,17.51,Medium
15683,Second Class,Consumer,EMEA,Technology,169.68,1,0.0,30.54,17.51,High
15684,Second Class,Consumer,LATAM,Furniture,261.84,4,0.4,-117.84,17.51,Medium
15685,Standard Class,Home Office,EU,Office Supplies,393.96,2,0.0,78.78,17.5,Medium
15686,First Class,Corporate,EU,Office Supplies,197.28,4,0.0,21.6,17.5,High
15687,First Class,Consumer,EU,Technology,89.01,3,0.0,6.21,17.5,High
15688,Second Class,Corporate,APAC,Furniture,308.556,4,0.1,34.236,17.5,Medium
15689,Second Class,Corporate,APAC,Office Supplies,90.828,2,0.1,35.268,17.5,Critical
15690,Second Class,Corporate,US,Office Supplies,79.14,3,0.0,36.4044,17.5,Critical
15691,Second Class,Consumer,EMEA,Office Supplies,204.18,1,0.0,12.24,17.5,Medium
15692,Standard Class,Home Office,LATAM,Technology,248.08284,3,0.002,108.82284,17.49,High
15693,Standard Class,Consumer,APAC,Technology,249.06,2,0.0,12.42,17.49,Medium
15694,Standard Class,Corporate,APAC,Furniture,272.28,4,0.0,100.68,17.49,Medium
15695,Standard Class,Consumer,LATAM,Furniture,197.352,3,0.4,-13.188,17.48,Medium
15696,Second Class,Home Office,LATAM,Office Supplies,131.904,6,0.4,6.504,17.48,Medium
15697,First Class,Consumer,LATAM,Office Supplies,79.68,8,0.6,-55.84,17.48,High
15698,Standard Class,Consumer,EU,Technology,122.04,4,0.0,52.44,17.48,High
15699,Standard Class,Consumer,EU,Technology,188.775,3,0.5,-11.385,17.48,Medium
15700,Second Class,Home Office,APAC,Furniture,224.748,2,0.1,64.908,17.48,High
15701,Standard Class,Corporate,APAC,Technology,333.66,2,0.0,103.38,17.48,Medium
15702,First Class,Consumer,US,Furniture,128.9,2,0.0,15.468,17.48,Critical
15703,Standard Class,Consumer,EMEA,Technology,256.17,1,0.0,56.34,17.48,Medium
15704,Standard Class,Corporate,Africa,Office Supplies,202.92,4,0.0,64.92,17.48,Medium
15705,Standard Class,Consumer,LATAM,Furniture,494.1,3,0.4,-197.64,17.48,Medium
15706,Standard Class,Home Office,LATAM,Technology,217.4,5,0.0,80.4,17.48,Medium
15707,Standard Class,Consumer,EU,Office Supplies,127.008,7,0.1,-7.182,17.47,Low
15708,First Class,Consumer,EU,Office Supplies,106.95,5,0.0,0.0,17.47,High
15709,Standard Class,Corporate,EU,Furniture,211.716,3,0.6,-264.654,17.47,Medium
15710,Standard Class,Home Office,APAC,Office Supplies,83.691,2,0.15,30.471,17.47,High
15711,Standard Class,Consumer,APAC,Technology,248.937,2,0.35,-61.323,17.47,Medium
15712,Second Class,Consumer,APAC,Office Supplies,106.8,4,0.0,23.4,17.47,High
15713,Standard Class,Consumer,US,Furniture,218.376,3,0.2,-10.9188,17.47,High
15714,Standard Class,Consumer,US,Technology,479.97,3,0.0,177.5889,17.47,Medium
15715,Second Class,Consumer,LATAM,Technology,326.18632,2,0.002,64.70632,17.47,High
15716,Standard Class,Corporate,LATAM,Office Supplies,124.26,3,0.0,32.28,17.46,Low
15717,Standard Class,Consumer,EU,Office Supplies,338.94,7,0.0,128.73,17.46,Medium
15718,Standard Class,Home Office,EU,Technology,348.687,3,0.15,-20.583,17.46,Medium
15719,Standard Class,Consumer,EU,Office Supplies,382.41,3,0.0,3.78,17.46,Medium
15720,Second Class,Corporate,APAC,Furniture,210.6,12,0.25,-28.08,17.46,Medium
15721,First Class,Consumer,APAC,Office Supplies,142.9758,3,0.17,48.2058,17.46,Medium
15722,Standard Class,Corporate,US,Technology,207.0,3,0.0,51.75,17.46,Low
15723,Same Day,Consumer,EMEA,Technology,61.392,4,0.6,-89.088,17.46,Critical
15724,Standard Class,Corporate,EU,Furniture,565.8,4,0.0,271.56,17.45,Medium
15725,First Class,Consumer,EU,Office Supplies,88.074,2,0.1,19.554,17.45,Critical
15726,First Class,Consumer,Africa,Office Supplies,83.64,1,0.0,6.69,17.45,Critical
15727,Standard Class,Corporate,Africa,Furniture,244.14,2,0.0,82.98,17.45,Medium
15728,Second Class,Consumer,LATAM,Technology,166.12,2,0.0,3.32,17.45,Medium
15729,Standard Class,Consumer,EU,Technology,283.32,4,0.4,42.48,17.44,Medium
15730,Standard Class,Consumer,EU,Furniture,267.57,2,0.1,29.73,17.43,Medium
15731,First Class,Corporate,US,Office Supplies,111.96,2,0.0,54.8604,17.43,High
15732,Second Class,Corporate,Canada,Technology,137.94,1,0.0,6.87,17.43,Medium
15733,Standard Class,Consumer,LATAM,Technology,268.848,4,0.4,-53.792,17.42,Medium
15734,First Class,Corporate,APAC,Technology,72.2178,3,0.47,-25.9722,17.42,Critical
15735,Standard Class,Consumer,US,Furniture,291.168,4,0.2,-14.5584,17.42,High
15736,Second Class,Home Office,US,Technology,159.98,2,0.0,47.994,17.42,High
15737,Standard Class,Corporate,Africa,Furniture,166.68,1,0.0,34.98,17.42,High
15738,Standard Class,Home Office,LATAM,Office Supplies,108.56,4,0.0,24.96,17.42,High
15739,Standard Class,Consumer,LATAM,Technology,300.09996,3,0.602,-318.20004,17.41,Medium
15740,Standard Class,Home Office,EU,Office Supplies,133.2,8,0.0,37.2,17.41,High
15741,First Class,Consumer,APAC,Office Supplies,107.595,5,0.1,3.495,17.41,Medium
15742,First Class,Consumer,APAC,Office Supplies,56.943,3,0.1,25.263,17.41,Critical
15743,Standard Class,Consumer,US,Furniture,205.666,2,0.15,-12.098,17.41,Medium
15744,Standard Class,Corporate,EU,Office Supplies,169.5,2,0.0,50.82,17.4,Medium
15745,Standard Class,Consumer,EU,Office Supplies,177.876,4,0.1,27.636,17.4,High
15746,Standard Class,Consumer,APAC,Technology,310.14,3,0.0,43.38,17.4,Medium
15747,First Class,Consumer,US,Office Supplies,61.44,3,0.0,16.5888,17.4,High
15748,Standard Class,Consumer,US,Technology,166.24,1,0.0,24.936,17.4,Medium
15749,Standard Class,Corporate,US,Technology,279.96,5,0.2,48.993,17.4,Medium
15750,Second Class,Corporate,EMEA,Office Supplies,138.6,4,0.0,0.0,17.4,Medium
15751,Standard Class,Consumer,EU,Office Supplies,104.166,2,0.1,18.486,17.39,High
15752,Second Class,Consumer,EU,Furniture,221.346,2,0.1,36.846,17.39,Medium
15753,Second Class,Home Office,EU,Furniture,100.92,2,0.0,1.98,17.39,Critical
15754,Second Class,Home Office,EU,Technology,162.18,2,0.0,22.68,17.39,High
15755,Same Day,Corporate,Africa,Office Supplies,102.84,2,0.0,9.24,17.39,High
15756,Second Class,Home Office,LATAM,Office Supplies,92.592,3,0.2,28.932,17.39,High
15757,Standard Class,Home Office,EU,Technology,119.763,2,0.65,-88.977,17.38,High
15758,Second Class,Consumer,APAC,Technology,206.658,2,0.1,41.298,17.38,Medium
15759,First Class,Home Office,US,Office Supplies,163.96,5,0.2,59.4355,17.38,Medium
15760,First Class,Home Office,LATAM,Office Supplies,109.52,5,0.2,27.32,17.37,High
15761,Standard Class,Consumer,EU,Office Supplies,309.555,5,0.1,-24.195,17.37,Medium
15762,First Class,Consumer,EU,Office Supplies,109.8,4,0.5,-70.32,17.37,Medium
15763,Standard Class,Consumer,APAC,Office Supplies,162.4476,4,0.17,52.7676,17.37,High
15764,Second Class,Corporate,APAC,Office Supplies,551.4,10,0.0,170.7,17.37,Medium
15765,First Class,Consumer,US,Furniture,47.04,3,0.0,18.3456,17.37,Critical
15766,Standard Class,Corporate,US,Furniture,408.006,2,0.1,72.5344,17.37,Medium
15767,Standard Class,Consumer,US,Technology,291.96,4,0.0,102.186,17.37,Medium
15768,Standard Class,Consumer,US,Technology,209.97,3,0.0,58.7916,17.37,Medium
15769,Standard Class,Home Office,Africa,Furniture,219.78,2,0.0,83.46,17.37,Medium
15770,First Class,Consumer,EMEA,Furniture,165.24,1,0.6,-239.61,17.37,High
15771,Second Class,Consumer,LATAM,Technology,110.856,3,0.6,-105.324,17.37,High
15772,Same Day,Consumer,LATAM,Office Supplies,124.32,4,0.0,59.6,17.36,Critical
15773,Second Class,Corporate,EU,Furniture,353.22,7,0.0,6.93,17.36,High
15774,Second Class,Corporate,APAC,Office Supplies,235.0755,9,0.45,-149.6745,17.36,Medium
15775,Standard Class,Consumer,APAC,Office Supplies,158.6025,7,0.47,-83.9475,17.36,Medium
15776,Same Day,Corporate,US,Office Supplies,219.9,5,0.0,59.373,17.36,High
15777,Standard Class,Corporate,LATAM,Furniture,498.24,3,0.4,-16.62,17.35,Medium
15778,Second Class,Corporate,EU,Technology,98.88,2,0.0,28.62,17.35,High
15779,Standard Class,Consumer,EU,Office Supplies,181.62,6,0.0,61.74,17.35,Medium
15780,Standard Class,Corporate,APAC,Furniture,169.128,2,0.1,61.968,17.35,High
15781,Standard Class,Consumer,APAC,Technology,143.0754,2,0.17,51.6954,17.35,Low
15782,Standard Class,Corporate,LATAM,Furniture,368.532,2,0.7,-307.148,17.34,Medium
15783,Standard Class,Home Office,LATAM,Furniture,230.016,8,0.2,-40.384,17.34,Medium
15784,Standard Class,Home Office,LATAM,Furniture,142.848,3,0.2,46.368,17.34,High
15785,Standard Class,Consumer,LATAM,Technology,341.52,2,0.0,13.64,17.34,Medium
15786,Standard Class,Consumer,EU,Furniture,169.236,9,0.6,-182.034,17.34,High
15787,Same Day,Corporate,EU,Office Supplies,63.99,3,0.1,-7.11,17.34,Medium
15788,Standard Class,Consumer,APAC,Technology,339.48,2,0.0,27.12,17.34,Medium
15789,First Class,Corporate,APAC,Technology,228.78,2,0.0,34.26,17.34,Medium
15790,Same Day,Consumer,APAC,Furniture,86.4174,2,0.27,25.9974,17.34,High
15791,Standard Class,Consumer,LATAM,Technology,222.56,2,0.0,109.04,17.34,Medium
15792,Standard Class,Home Office,LATAM,Furniture,383.04,9,0.2,119.7,17.34,Medium
15793,Standard Class,Corporate,LATAM,Office Supplies,105.088,4,0.2,39.408,17.33,Low
15794,Standard Class,Consumer,EU,Technology,220.0905,3,0.15,69.8805,17.33,Medium
15795,First Class,Consumer,APAC,Office Supplies,91.92,8,0.0,26.64,17.33,High
15796,Same Day,Consumer,EMEA,Office Supplies,132.336,4,0.4,-46.344,17.33,Medium
15797,Second Class,Corporate,EU,Office Supplies,87.96,2,0.0,19.32,17.32,Critical
15798,Standard Class,Home Office,EU,Office Supplies,151.56,3,0.0,43.92,17.32,High
15799,Standard Class,Home Office,APAC,Office Supplies,147.0,5,0.0,46.95,17.32,Low
15800,Second Class,Consumer,US,Furniture,117.36,4,0.0,36.3816,17.32,High
15801,Second Class,Corporate,EMEA,Technology,104.712,1,0.6,-128.298,17.32,Medium
15802,Standard Class,Consumer,EMEA,Technology,169.68,1,0.0,30.54,17.32,Medium
15803,Second Class,Consumer,EU,Office Supplies,338.1,7,0.0,37.17,17.31,Medium
15804,Standard Class,Corporate,EU,Technology,181.35,3,0.5,-87.12,17.31,Medium
15805,First Class,Home Office,APAC,Technology,150.84,5,0.4,-65.46,17.31,High
15806,Second Class,Consumer,Africa,Technology,346.92,2,0.0,100.56,17.31,Medium
15807,First Class,Home Office,LATAM,Furniture,102.576,3,0.2,26.916,17.31,High
15808,Standard Class,Consumer,LATAM,Office Supplies,203.98,7,0.0,0.0,17.31,Medium
15809,Second Class,Consumer,LATAM,Office Supplies,59.58,3,0.0,9.48,17.3,Critical
15810,Standard Class,Consumer,LATAM,Office Supplies,221.76,7,0.0,84.14,17.3,Medium
15811,Second Class,Consumer,LATAM,Technology,197.856,3,0.6,-98.964,17.3,Medium
15812,Second Class,Corporate,EU,Technology,123.93,2,0.5,-84.33,17.3,Medium
15813,Second Class,Home Office,LATAM,Office Supplies,118.88,4,0.0,13.04,17.3,Medium
15814,Standard Class,Corporate,LATAM,Office Supplies,457.7,5,0.0,64.0,17.29,Medium
15815,Second Class,Consumer,EU,Office Supplies,67.92,4,0.0,25.8,17.29,High
15816,Standard Class,Consumer,EU,Office Supplies,158.22,6,0.0,31.5,17.29,High
15817,Standard Class,Consumer,APAC,Office Supplies,177.768,8,0.1,7.848,17.29,Medium
15818,First Class,Corporate,US,Furniture,168.464,2,0.2,-29.4812,17.29,Medium
15819,Standard Class,Home Office,EMEA,Furniture,413.1,1,0.0,8.25,17.29,Medium
15820,Standard Class,Consumer,EU,Furniture,195.72,4,0.0,27.36,17.28,High
15821,Same Day,Consumer,EU,Office Supplies,84.0,7,0.0,3.36,17.28,High
15822,Standard Class,Corporate,EU,Office Supplies,255.744,3,0.4,-102.366,17.28,Medium
15823,Standard Class,Consumer,APAC,Furniture,325.68,4,0.0,123.72,17.28,Medium
15824,Second Class,Consumer,US,Furniture,170.352,3,0.2,19.1646,17.28,High
15825,Standard Class,Home Office,LATAM,Technology,267.072,3,0.2,96.792,17.28,Low
15826,Standard Class,Home Office,LATAM,Furniture,243.78,1,0.0,4.86,17.27,High
